player1,player2,val_3,val_6,raw,total
1627758_2018-19,1628373_2018-19,0,0,0.16,1
1627758_2018-19,1628385_2018-19,0,0,0.16,1
1627758_2018-19,1628413_2018-19,0,0,0.16,1
1627758_2018-19,1629003_2018-19,0,0,0.16,1
1627758_2018-19,1629004_2018-19,1,1,0.33,2
1627758_2018-19,1629059_2018-19,0,0,0.16,1
1627758_2018-19,1629244_2018-19,0,0,0.16,1
1627758_2018-19,202498_2018-19,0,0,0.16,1
1627758_2018-19,203960_2018-19,0,0,0.16,1
1627758_2018-19,2736_2018-19,0,0,0.16,1
1627782_2018-19,1627824_2018-19,0,0,0.16,1
1627782_2018-19,1628373_2018-19,2,1,0.5,3
1627782_2018-19,1628385_2018-19,0,0,0.16,1
1627782_2018-19,1628413_2018-19,1,1,0.33,2
1627782_2018-19,1629003_2018-19,0,0,0.16,1
1627782_2018-19,1629004_2018-19,0,0,0.16,1
1627782_2018-19,1629059_2018-19,2,1,0.5,3
1627782_2018-19,1629244_2018-19,0,0,0.16,1
1627782_2018-19,202498_2018-19,0,0,0.16,1
1627782_2018-19,203960_2018-19,0,0,0.16,1
1627782_2018-19,2736_2018-19,0,0,0.16,1
1627824_2018-19,1628373_2018-19,0,0,0.16,1
1627824_2018-19,1628385_2018-19,0,0,0.16,1
1627824_2018-19,1628413_2018-19,0,0,0.16,1
1627824_2018-19,1629003_2018-19,0,0,0.16,1
1627824_2018-19,1629004_2018-19,0,0,0.16,1
1627824_2018-19,1629059_2018-19,0,0,0.16,1
1627824_2018-19,1629244_2018-19,0,0,0.16,1
1627824_2018-19,202498_2018-19,1,1,0.33,2
1627824_2018-19,203960_2018-19,0,0,0.16,1
1627824_2018-19,2736_2018-19,0,0,0.16,1
1628373_2018-19,1628385_2018-19,0,0,0.16,1
1628373_2018-19,1628413_2018-19,0,0,0.16,1
1628373_2018-19,1629003_2018-19,0,0,0.16,1
1628373_2018-19,1629004_2018-19,0,0,0.16,1
1628373_2018-19,1629059_2018-19,1,1,0.33,2
1628373_2018-19,1629244_2018-19,0,0,0.16,1
1628373_2018-19,202498_2018-19,0,0,0.16,1
1628373_2018-19,203960_2018-19,0,0,0.16,1
1628373_2018-19,2736_2018-19,0,0,0.16,1
1628385_2018-19,1628413_2018-19,2,1,0.5,3
1628385_2018-19,1629003_2018-19,0,0,0.16,1
1628385_2018-19,1629004_2018-19,0,0,0.16,1
1628385_2018-19,1629059_2018-19,0,0,0.16,1
1628385_2018-19,1629244_2018-19,0,0,0.16,1
1628385_2018-19,202498_2018-19,0,0,0.16,1
1628385_2018-19,203960_2018-19,0,0,0.16,1
1628385_2018-19,2736_2018-19,0,0,0.16,1
1628413_2018-19,1629003_2018-19,1,1,0.33,2
1628413_2018-19,1629004_2018-19,1,1,0.33,2
1628413_2018-19,1629059_2018-19,0,0,0.16,1
1628413_2018-19,1629244_2018-19,1,1,0.33,2
1628413_2018-19,202498_2018-19,0,0,0.16,1
1628413_2018-19,203960_2018-19,0,0,0.16,1
1628413_2018-19,2736_2018-19,0,0,0.16,1
1629003_2018-19,1629004_2018-19,1,1,0.33,2
1629003_2018-19,1629059_2018-19,0,0,0.16,1
1629003_2018-19,1629244_2018-19,1,1,0.33,2
1629003_2018-19,202498_2018-19,0,0,0.16,1
1629003_2018-19,203960_2018-19,0,0,0.16,1
1629003_2018-19,2736_2018-19,0,0,0.16,1
1629004_2018-19,1629059_2018-19,0,0,0.16,1
1629004_2018-19,1629244_2018-19,1,1,0.33,2
1629004_2018-19,202498_2018-19,0,0,0.16,1
1629004_2018-19,203960_2018-19,0,0,0.16,1
1629004_2018-19,2736_2018-19,0,0,0.16,1
1629059_2018-19,1629244_2018-19,0,0,0.16,1
1629059_2018-19,202498_2018-19,1,1,0.33,2
1629059_2018-19,203960_2018-19,0,0,0.16,1
1629059_2018-19,2736_2018-19,0,0,0.16,1
1629244_2018-19,202498_2018-19,1,1,0.33,2
1629244_2018-19,203960_2018-19,0,0,0.16,1
1629244_2018-19,2736_2018-19,0,0,0.16,1
202498_2018-19,203960_2018-19,0,0,0.16,1
202498_2018-19,2736_2018-19,1,1,0.33,2
203960_2018-19,2736_2018-19,0,0,0.16,1
101123_2018-19,101139_2018-19,0,0,0.16,1
101123_2018-19,1626163_2018-19,1,1,0.33,2
101123_2018-19,1626169_2018-19,0,0,0.16,1
101123_2018-19,1626246_2018-19,0,0,0.16,1
101123_2018-19,1627733_2018-19,1,1,0.33,2
101123_2018-19,1627774_2018-19,1,1,0.33,2
101123_2018-19,1627823_2018-19,0,0,0.16,1
101123_2018-19,1627936_2018-19,1,1,0.33,2
101123_2018-19,1628384_2018-19,0,0,0.16,1
101123_2018-19,1628443_2018-19,1,1,0.33,2
101123_2018-19,1629026_2018-19,0,0,0.16,1
101123_2018-19,201588_2018-19,0,0,0.16,1
101123_2018-19,203894_2018-19,0,0,0.16,1
101123_2018-19,203926_2018-19,0,0,0.16,1
101123_2018-19,203998_2018-19,0,0,0.16,1
101123_2018-19,204456_2018-19,0,0,0.16,1
101139_2018-19,1626163_2018-19,0,0,0.16,1
101139_2018-19,1626169_2018-19,0,0,0.16,1
101139_2018-19,1626246_2018-19,0,0,0.16,1
101139_2018-19,1627733_2018-19,0,0,0.16,1
101139_2018-19,1627774_2018-19,1,1,0.33,2
101139_2018-19,1627823_2018-19,0,0,0.16,1
101139_2018-19,1627936_2018-19,0,0,0.16,1
101139_2018-19,1628384_2018-19,0,0,0.16,1
101139_2018-19,1628443_2018-19,0,0,0.16,1
101139_2018-19,1629026_2018-19,1,1,0.33,2
101139_2018-19,201588_2018-19,0,0,0.16,1
101139_2018-19,203894_2018-19,1,1,0.33,2
101139_2018-19,203926_2018-19,1,1,0.33,2
101139_2018-19,203998_2018-19,0,0,0.16,1
101139_2018-19,204456_2018-19,0,0,0.16,1
1626163_2018-19,1626169_2018-19,0,0,0.16,1
1626163_2018-19,1626246_2018-19,0,0,0.16,1
1626163_2018-19,1627733_2018-19,2,1,0.5,3
1626163_2018-19,1627774_2018-19,0,0,0.16,1
1626163_2018-19,1627823_2018-19,0,0,0.16,1
1626163_2018-19,1627936_2018-19,0,0,0.16,1
1626163_2018-19,1628384_2018-19,0,0,0.16,1
1626163_2018-19,1628443_2018-19,0,0,0.16,1
1626163_2018-19,1629026_2018-19,0,0,0.16,1
1626163_2018-19,201588_2018-19,0,0,0.16,1
1626163_2018-19,203894_2018-19,0,0,0.16,1
1626163_2018-19,203926_2018-19,0,0,0.16,1
1626163_2018-19,203998_2018-19,1,1,0.33,2
1626163_2018-19,204456_2018-19,0,0,0.16,1
1626169_2018-19,1626246_2018-19,0,0,0.16,1
1626169_2018-19,1627733_2018-19,0,0,0.16,1
1626169_2018-19,1627774_2018-19,0,0,0.16,1
1626169_2018-19,1627823_2018-19,2,1,0.5,3
1626169_2018-19,1627936_2018-19,0,0,0.16,1
1626169_2018-19,1628384_2018-19,2,1,0.5,3
1626169_2018-19,1628443_2018-19,1,1,0.33,2
1626169_2018-19,1629026_2018-19,0,0,0.16,1
1626169_2018-19,201588_2018-19,1,1,0.33,2
1626169_2018-19,203894_2018-19,0,0,0.16,1
1626169_2018-19,203926_2018-19,0,0,0.16,1
1626169_2018-19,203998_2018-19,2,1,0.5,3
1626169_2018-19,204456_2018-19,1,1,0.33,2
1626246_2018-19,1627733_2018-19,0,0,0.16,1
1626246_2018-19,1627774_2018-19,0,0,0.16,1
1626246_2018-19,1627823_2018-19,0,0,0.16,1
1626246_2018-19,1627936_2018-19,0,0,0.16,1
1626246_2018-19,1628384_2018-19,0,0,0.16,1
1626246_2018-19,1628443_2018-19,0,0,0.16,1
1626246_2018-19,1629026_2018-19,0,0,0.16,1
1626246_2018-19,201588_2018-19,0,0,0.16,1
1626246_2018-19,203894_2018-19,0,0,0.16,1
1626246_2018-19,203926_2018-19,0,0,0.16,1
