id,group,pos,name,season,GroupYear,pid,team,AGE,FG%,PTS,REB,AST,STL,BLK,TOV,+/-
201599_2016-17,10,C,DeAndre Jordan,2016-17,Group 10 (2016-17),201599.0,LAC,28.0,0.714,12.7,13.8,1.2,0.6,1.7,1.4,5.6
202330_2016-17,2,SF,Gordon Hayward,2016-17,Group 2 (2016-17),202330.0,UTA,27.0,0.471,21.9,5.4,3.5,1.0,0.3,1.9,4.8
203497_2016-17,10,C,Rudy Gobert,2016-17,Group 10 (2016-17),203497.0,UTA,25.0,0.661,14.0,12.8,1.2,0.6,2.6,1.8,5.4
203967_2016-17,7,PF,Dario Saric,2016-17,Group 7 (2016-17),203967.0,PHI,23.0,0.411,12.8,6.3,2.2,0.7,0.4,2.3,-3.8
201935_2016-17,2,PG,James Harden,2016-17,Group 2 (2016-17),201935.0,HOU,27.0,0.44,29.1,8.1,11.2,1.5,0.5,5.7,5.2
201942_2016-17,2,SG,DeMar DeRozan,2016-17,Group 2 (2016-17),201942.0,TOR,27.0,0.467,27.3,5.2,3.9,1.1,0.2,2.4,2.0
202695_2016-17,2,SF,Kawhi Leonard,2016-17,Group 2 (2016-17),202695.0,SAS,26.0,0.485,25.5,5.8,3.5,1.8,0.7,2.1,5.9
202710_2016-17,2,SF,Jimmy Butler,2016-17,Group 2 (2016-17),202710.0,CHI,27.0,0.455,23.9,6.2,5.5,1.9,0.4,2.1,2.7
201937_2016-17,7,PG,Ricky Rubio,2016-17,Group 7 (2016-17),201937.0,MIN,26.0,0.402,11.1,4.1,9.1,1.7,0.1,2.6,-0.1
203486_2016-17,4,C,Mason Plumlee,2016-17,Group 4 (2016-17),203486.0,DEN,27.0,0.536,10.4,7.5,3.5,0.9,1.1,1.7,0.0
203496_2016-17,7,SF,Robert Covington,2016-17,Group 7 (2016-17),203496.0,PHI,26.0,0.399,12.9,6.5,1.5,1.9,1.0,2.0,-2.3
203506_2016-17,7,SG,Victor Oladipo,2016-17,Group 7 (2016-17),203506.0,OKC,25.0,0.442,15.9,4.3,2.6,1.2,0.3,1.8,2.6
1626167_2016-17,10,C,Myles Turner,2016-17,Group 10 (2016-17),1626167.0,IND,21.0,0.511,14.5,7.3,1.3,0.9,2.1,1.3,1.8
201952_2016-17,7,PG,Jeff Teague,2016-17,Group 7 (2016-17),201952.0,IND,29.0,0.442,15.3,4.0,7.8,1.2,0.4,2.6,0.6
201954_2016-17,1,PG,Darren Collison,2016-17,Group 1 (2016-17),201954.0,SAC,29.0,0.476,13.2,2.2,4.6,1.0,0.1,1.7,-1.9
202329_2016-17,7,PF,Al-Farouq Aminu,2016-17,Group 7 (2016-17),202329.0,POR,26.0,0.393,8.7,7.4,1.6,1.0,0.7,1.5,0.4
201988_2016-17,0,PG,Patty Mills,2016-17,Group 0 (2016-17),201988.0,SAS,28.0,0.44,9.5,1.8,3.5,0.8,0.0,1.3,5.1
202696_2016-17,10,C,Nikola Vucevic,2016-17,Group 10 (2016-17),202696.0,ORL,26.0,0.468,14.6,10.4,2.8,1.0,1.0,1.6,-1.9
203930_2016-17,7,SG,Sean Kilpatrick,2016-17,Group 7 (2016-17),203930.0,BKN,27.0,0.415,13.1,4.0,2.2,0.6,0.1,1.9,-3.2
202322_2016-17,2,PG,John Wall,2016-17,Group 2 (2016-17),202322.0,WAS,26.0,0.451,23.1,4.2,10.7,2.0,0.6,4.1,3.2
202689_2016-17,2,PG,Kemba Walker,2016-17,Group 2 (2016-17),202689.0,CHA,27.0,0.444,23.2,3.9,5.5,1.1,0.3,2.1,2.4
203078_2016-17,2,SG,Bradley Beal,2016-17,Group 2 (2016-17),203078.0,WAS,24.0,0.482,23.1,3.1,3.5,1.1,0.3,2.0,4.3
202326_2016-17,10,C,DeMarcus Cousins,2016-17,Group 10 (2016-17),202326.0,NOP,26.0,0.452,27.0,11.0,4.6,1.4,1.3,3.7,-0.3
202331_2016-17,2,SF,Paul George,2016-17,Group 2 (2016-17),202331.0,IND,27.0,0.461,23.7,6.6,3.3,1.6,0.4,2.9,2.2
203076_2016-17,10,C,Anthony Davis,2016-17,Group 10 (2016-17),203076.0,NOP,24.0,0.505,28.0,11.8,2.1,1.3,2.2,2.4,0.7
202340_2016-17,7,SG,Avery Bradley,2016-17,Group 7 (2016-17),202340.0,BOS,26.0,0.463,16.3,6.1,2.2,1.2,0.2,1.6,1.3
202355_2016-17,4,C,Hassan Whiteside,2016-17,Group 4 (2016-17),202355.0,MIA,28.0,0.557,17.0,14.1,0.7,0.7,2.1,2.0,1.3
202694_2016-17,7,SF,Marcus Morris Sr.,2016-17,Group 7 (2016-17),202694.0,DET,27.0,0.418,14.0,4.6,2.0,0.7,0.3,1.1,-1.3
203145_2016-17,7,SF,Kent Bazemore,2016-17,Group 7 (2016-17),203145.0,ATL,27.0,0.409,11.0,3.2,2.4,1.2,0.7,1.7,-1.5
203501_2016-17,7,SG,Tim Hardaway Jr.,2016-17,Group 7 (2016-17),203501.0,ATL,25.0,0.455,14.5,2.8,2.3,0.7,0.2,1.3,2.0
203901_2016-17,2,PG,Elfrid Payton,2016-17,Group 2 (2016-17),203901.0,ORL,23.0,0.471,12.8,4.7,6.5,1.1,0.5,2.2,-1.8
204020_2016-17,7,PG,Tyler Johnson,2016-17,Group 7 (2016-17),204020.0,MIA,25.0,0.433,13.7,4.0,3.2,1.2,0.6,1.2,0.5
202344_2016-17,4,PF,Trevor Booker,2016-17,Group 4 (2016-17),202344.0,BKN,29.0,0.516,10.0,8.0,1.9,1.1,0.4,1.8,-4.7
202685_2016-17,4,C,Jonas Valanciunas,2016-17,Group 4 (2016-17),202685.0,TOR,25.0,0.557,12.0,9.5,0.7,0.5,0.8,1.3,1.4
203083_2016-17,4,C,Andre Drummond,2016-17,Group 4 (2016-17),203083.0,DET,23.0,0.53,13.6,13.8,1.1,1.5,1.1,1.9,-3.4
203200_2016-17,0,SG,Justin Holiday,2016-17,Group 0 (2016-17),203200.0,NYK,28.0,0.433,7.7,2.7,1.2,0.8,0.4,0.8,-0.5
203944_2016-17,4,PF,Julius Randle,2016-17,Group 4 (2016-17),203944.0,LAL,22.0,0.488,13.2,8.6,3.6,0.7,0.5,2.3,-6.1
202397_2016-17,1,PG,Ish Smith,2016-17,Group 1 (2016-17),202397.0,DET,28.0,0.439,9.4,2.9,5.2,0.8,0.4,1.4,0.6
203110_2016-17,10,PF,Draymond Green,2016-17,Group 10 (2016-17),203110.0,GSW,27.0,0.418,10.2,7.9,7.0,2.0,1.4,2.4,10.8
203897_2016-17,2,SG,Zach LaVine,2016-17,Group 2 (2016-17),203897.0,MIN,22.0,0.459,18.9,3.4,3.0,0.9,0.2,1.8,-2.5
203953_2016-17,2,PF,Jabari Parker,2016-17,Group 2 (2016-17),203953.0,MIL,22.0,0.49,20.1,6.2,2.8,1.0,0.4,1.8,-1.7
202684_2016-17,10,C,Tristan Thompson,2016-17,Group 10 (2016-17),202684.0,CLE,26.0,0.6,8.1,9.2,1.0,0.5,1.1,0.8,1.7
203521_2016-17,1,PG,Matthew Dellavedova,2016-17,Group 1 (2016-17),203521.0,MIL,26.0,0.39,7.6,1.9,4.7,0.7,0.0,1.8,-0.9
203933_2016-17,7,SF,T.J. Warren,2016-17,Group 7 (2016-17),203933.0,PHX,23.0,0.495,14.4,5.1,1.1,1.2,0.6,0.9,-4.3
1626196_2016-17,1,SG,Josh Richardson,2016-17,Group 1 (2016-17),1626196.0,MIA,23.0,0.394,10.2,3.2,2.6,1.1,0.7,1.2,0.1
202688_2016-17,1,SG,Brandon Knight,2016-17,Group 1 (2016-17),202688.0,PHX,25.0,0.398,11.0,2.2,2.4,0.5,0.1,1.6,-6.0
203512_2016-17,5,C,Lucas Nogueira,2016-17,Group 5 (2016-17),203512.0,TOR,24.0,0.66,4.4,4.3,0.7,0.9,1.6,0.8,3.1
1626158_2016-17,3,C,Richaun Holmes,2016-17,Group 3 (2016-17),1626158.0,PHI,23.0,0.558,9.8,5.5,1.0,0.7,1.0,1.0,-4.0
1627737_2016-17,0,PF,Marquese Chriss,2016-17,Group 0 (2016-17),1627737.0,PHX,19.0,0.449,9.2,4.2,0.7,0.8,0.9,1.3,-4.7
203079_2016-17,2,SG,Dion Waiters,2016-17,Group 2 (2016-17),203079.0,MIA,25.0,0.424,15.8,3.3,4.3,0.9,0.4,2.2,1.8
203093_2016-17,7,PF,Terrence Jones,2016-17,Group 7 (2016-17),203093.0,MIL,25.0,0.47,10.8,5.7,1.1,0.7,1.0,0.9,-1.1
203584_2016-17,0,SG,Troy Daniels,2016-17,Group 0 (2016-17),203584.0,MEM,25.0,0.374,8.2,1.5,0.7,0.3,0.1,0.7,1.3
203081_2016-17,2,PG,Damian Lillard,2016-17,Group 2 (2016-17),203081.0,POR,26.0,0.444,27.0,4.9,5.9,0.9,0.3,2.6,1.1
203468_2016-17,2,SG,CJ McCollum,2016-17,Group 2 (2016-17),203468.0,POR,25.0,0.48,23.0,3.6,3.6,0.9,0.5,2.2,0.8
101109_2016-17,1,PG,Raymond Felton,2016-17,Group 1 (2016-17),101109.0,LAC,33.0,0.43,6.7,2.7,2.4,0.8,0.3,1.0,-2.1
